辣彼	labi,lb
辣不唧儿	labujier,lbje
辣菜根子	lacaigenzi,lcgz
辣丁文	ladingwen,ldw
辣豆酱	ladoujiang,ldj
辣根	lagen,lg
辣哈布	lahabu,lhb
辣乎乎	lahu,lh
辣忽忽	lahu,lh
辣胡椒	lahujiao,lhj
辣豁豁	lahuo,lh
辣鸡	laji,lj
辣茄	laqie,lq
辣酱	lajiang,lj
辣酱油	lajiangyou,ljy
辣椒	lajiao,lj
辣椒酱	lajiaojiang,ljj
辣椒油	lajiaoyou,ljy
辣椒仔	lajiaozai,ljz
辣焦焦	lajiao,lj
辣辣	la,l
辣浪	lalang,ll
辣妈	lama,lm
辣妹	lamei,lm
辣妹子	lameizi,lmz
辣臊	lasao,ls
辣生生	lasheng,ls
辣手	lashou,ls
辣挞	lata,lt
辣阘	lata,lt
辣条	latiao,lt
辣味	lawei,lw
辣辛	laxin,lx
辣眼睛	layanjing,lyj
辣硬	laying,ly
辣语	layu,ly
辣玉	layu,ly
辣燥	lazao,lz
辣汁	lazhi,lz
辣子	lazi,lz
辣子角	lazijiao,lzj
