迂傲	yuao,ya
迂板	yuban,yb
迂薄	yubao,yb
迂蔽	yubi,yb
迂步	yubu,yb
迂才	yucai,yc
迂大	yuda,yd
迂呆	yudai,yd
迂诞	yudan,yd
迂道	yudao,yd
迂钝	yudun,yd
迂夫	yufu,yf
迂夫子	yufuzi,yfz
迂腐	yufu,yf
迂怪	yuguai,yg
迂合	yuhe,yh
迂弘	yuhong,yh
迂缓	yuhuan,yh
迂回	yuhui,yh
迂回奔袭	yuhuibenxi,yhbx
迂回地	yuhuide,yhd
迂回曲折	yuhuiquzhe,yhqz
迂晦	yuhui,yh
迂惑	yuhuo,yh
迂驾	yujia,yj
迂蹇	yujian,yj
迂见	yujian,yj
迂结	yujie,yj
迂介	yujie,yj
迂谨	yujin,yj
迂久	yujiu,yj
迂拘	yuju,yj
迂刻	yuke,yk
迂狂	yukuang,yk
迂阔	yukuo,yk
迂戾	yuli,yl
迂陋	yulou,yl
迂路	yulu,yl
迂论	yulun,yl
迂昧	yumei,ym
迂邈	yumiao,ym
迂谬	yumiu,ym
迂磨	yumo,ym
迂末	yumo,ym
迂囊	yunang,yn
迂讷	yune,yn
迂泥	yuni,yn
迂倪	yuni,yn
迂癖	yupi,yp
迂僻	yupi,yp
迂气	yuqi,yq
迂浅	yuqian,yq
迂曲	yuqu,yq
迂屈	yuqu,yq
迂绕	yurao,yr
迂儒	yuru,yr
迂弱	yuruo,yr
迂散	yusan,ys
迂深	yushen,ys
迂生	yusheng,ys
迂士	yushi,ys
迂疎	yushu,ys
迂疏	yushu,ys
迂叟	yusou,ys
迂邃	yusui,ys
迂谈	yutan,yt
迂谈阔论	yutankuolun,ytkl
迂涂	yutu,yt
迂途	yutu,yt
迂退	yutui,yt
迂妄	yuwang,yw
迂威	yuwei,yw
迂狭	yuxia,yx
迂小	yuxiao,yx
迂笑	yuxiao,yx
迂邪	yuxie,yx
迂辛	yuxin,yx
迂徐	yuxu,yx
迂言	yuyan,yy
迂愚	yu,y
迂语	yu,y
迂远	yuyuan,yy
迂折	yushe,ys
迂政	yuzheng,yz
迂执	yuzhi,yz
迂直	yuzhi,yz
迂滞	yuzhi,yz
迂重	yuzhong,yz
迂拙	yuzhuo,yz
