迎阿	yinga,ya
迎碍	yingai,ya
迎拜	yingbai,yb
迎跸	yingbi,yb
迎宾	yingbin,yb
迎宾馆	yingbinguan,ybg
迎潮	yingchao,yc
迎车	yingche,yc
迎尘	yingchen,yc
迎晨	yingchen,yc
迎榇	yingchen,yc
迎承	yingcheng,yc
迎春	yingchun,yc
迎春花	yingchunhua,ych
迎春黄胖	yingchunhuangpang,ychp
迎春乐	yingchunle,ycl
迎待	yingdai,yd
迎导	yingdao,yd
迎敌	yingdi,yd
迎递	yingdi,yd
迎睇	yingdi,yd
迎冬	yingdong,yd
迎斗	yingdou,yd
迎吠	yingfei,yf
迎风	yingfeng,yf
迎风板	yingfengban,yfb
迎风簸	yingfengbo,yfb
迎风簸簸箕	yingfengboji,yfbj
迎风待月	yingfengdaiyue,yfdy
迎风观	yingfengguan,yfg
迎风馆	yingfengguan,yfg
迎风冒雪	yingfengmaoxue,yfmx
迎风飘舞	yingfengpiaowu,yfpw
迎风招展	yingfengzhaozhan,yfzz
迎锋	yingfeng,yf
迎逢	yingfeng,yf
迎奉	yingfeng,yf
迎佛骨	yingfogu,yfg
迎妇	yingfu,yf
迎附	yingfu,yf
迎富	yingfu,yf
迎閤	yingge,yg
迎郭伋	yingguoji,ygj
迎寒	yinghan,yh
迎捍	yinghan,yh
迎合	yinghe,yh
迎黑	yinghei,yh
迎候	yinghou,yh
迎虎	yinghu,yh
迎欢	yinghuan,yh
迎会	yinghui,yh
迎婚	yinghun,yh
迎火	yinghuo,yh
迎击	yingji,yj
迎机	yingji,yj
迎驾	yingjia,yj
迎奸卖俏	yingjianmaiqiao,yjmq
迎见	yingjian,yj
迎饯	yingjian,yj
迎江	yingjiang,yj
迎江区	yingjiangqu,yjq
迎将	yingjiang,yj
迎降	yingjiang,yj
迎接	yingjie,yj
迎接挑战	yingjietiaozhan,yjtz
迎解	yingjie,yj
迎觐	yingjin,yj
迎拒	yingju,yj
迎客	yingke,yk
迎客松	yingkesong,yks
迎来	yinglai,yl
迎来送往	yinglaisongwang,ylsw
迎劳	yinglao,yl
迎立	yingli,yl
迎脸	yinglian,yl
迎灵	yingling,yl
迎流	yingliu,yl
迎銮	yingluan,yl
迎猫	yingmao,ym
迎茅娘	yingmaoniang,ymn
迎梅	yingmei,ym
迎梅雨	yingmeiyu,ymy
迎门	yingmen,ym
迎门请盗	yingmenqingdao,ymqd
迎面	yingmian,ym
迎面地	yingmiande,ymd
迎面而来	yingmianerlai,ymel
迎眸	yingmou,ym
迎纳	yingna,yn
迎逆	yingni,yn
迎年	yingnian,yn
迎年佩	yingnianpei,ynp
迎辇花	yingnianhua,ynh
迎判	yingpan,yp
迎浦	yingpu,yp
迎气	yingqi,yq
迎前	yingqian,yq
迎遣	yingqian,yq
迎亲	yingqin,yq
迎请	yingqing,yq
迎秋	yingqiu,yq
迎取	yingqu,yq
迎娶	yingqu,yq
迎人	yingren,yr
迎刃	yingren,yr
迎刃冰解	yingrenbingjie,yrbj
迎刃而解	yingrenerjie,yrej
迎刃而理	yingrenerli,yrel
迎刃立解	yingrenlijie,yrlj
迎刃以解	yingrenyijie,yryj
迎日	yingri,yr
迎日步气	yingribuqi,yrbq
迎日推策	yingrituice,yrtc
迎日推筴	yingrituijia,yrtj
迎赛	yingsai,ys
迎丧	yingsang,ys
迎杀	yingsha,ys
迎神	yingshen,ys
迎神赛会	yingshensaihui,yssh
迎生	yingsheng,ys
迎省	yingsheng,ys
迎尸	yingshi,ys
迎时	yingshi,ys
迎侍	yingshi,ys
迎手	yingshou,ys
迎受	yingshou,ys
迎授	yingshou,ys
迎霜	yingshuang,ys
迎霜兔	yingshuangtu,yst
迎霜宴	yingshuangyan,ysy
迎祀	yingsi,ys
迎送	yingsong,ys
迎肃	yingsu,ys
迎随	yingsui,ys
迎岁	yingsui,ys
迎头	yingtou,yt
迎头打击	yingtoudaji,ytdj
迎头儿	yingtouer,yte
迎头赶上	yingtouganshang,ytgs
迎头好	yingtouhao,yth
迎头痛击	yingtoutongji,yttj
迎迋	yingwang,yw
迎望	yingwang,yw
迎问	yingwen,yw
迎袭	yingxi,yx
迎喜	yingxi,yx
迎喜神	yingxishen,yxs
迎夏	yingxia,yx
迎仙客	yingxianke,yxk
迎香	yingxiang,yx
迎祥	yingxiang,yx
迎宵	yingxiao,yx
迎笑	yingxiao,yx
迎谐	yingxie,yx
迎新	yingxin,yx
迎新弃旧	yingxinqijiu,yxqj
迎新送故	yingxinsonggu,yxsg
迎新送旧	yingxinsongjiu,yxsj
迎徐榻	yingxuta,yxt
迎旋	yingxuan,yx
迎学	yingxue,yx
迎迓	yingya,yy
迎延	yingyan,yy
迎阳	yingyang,yy
迎阳子	yingyangzi,yyz
迎养	yingyang,yy
迎谒	yingye,yy
迎揖	yingyi,yy
迎意	yingyi,yy
迎引	yingyin,yy
迎灶	yingzao,yz
迎泽	yingze,yz
迎泽区	yingzequ,yzq
迎战	yingzhan,yz
迎枕	yingzhen,yz
迎致	yingzhi,yz
迎置	yingzhi,yz
迎紫姑	yingzigu,yzg
