远安	yuanan,ya
远安县	yuananxian,yax
远奥	yuanao,ya
远邦	yuanbang,yb
远抱	yuanbao,yb
远背	yuanbei,yb
远被	yuanbei,yb
远鄙	yuanbi,yb
远避	yuanbi,yb
远边	yuanbian,yb
远别	yuanbie,yb
远播	yuanbo,yb
远蕃	yuanfan,yf
远不间亲	yuanbujianqin,ybjq
远步	yuanbu,yb
远操	yuancao,yc
远岑	yuancen,yc
远曾	yuanzeng,yz
远场	yuanchang,yc
远畅	yuanchang,yc
远超过	yuanchaoguo,ycg
远彻	yuanche,yc
远臣	yuanchen,yc
远辰	yuanchen,yc
远程	yuancheng,yc
远程导弹	yuanchengdaodan,ycdd
远程登录	yuanchengdenglu,ycdl
远程监控	yuanchengjiankong,ycjk
远程教育	yuanchengjiaoyu,ycjy
远斥	yuanchi,yc
远愁近虑	yuanchoujinlu,ycjl
远筹	yuanchou,yc
远处	yuanchu,yc
远垂不朽	yuanchuibuxiu,ycbx
远窜	yuancuan,yc
远达	yuanda,yd
远打周遭	yuandazhouzao,ydzz
远大	yuanda,yd
远大理想	yuandalixiang,ydlx
远代	yuandai,yd
远黛	yuandai,yd
远蹈	yuandao,yd
远到	yuandao,yd
远盗	yuandao,yd
远道	yuandao,yd
远德	yuande,yd
远地	yuandi,yd
远地点	yuandidian,ydd
远东	yuandong,yd
远东豹	yuandongbao,ydb
远东山雀	yuandongshanque,ydsq
远东树莺	yuandongshuying,ydsy
远东苇莺	yuandongweiying,ydwy
远兜转	yuandouzhuan,ydz
远斗	yuandou,yd
远度	yuandu,yd
远渡	yuandu,yd
远渡重洋	yuanduchongyang,ydcy
远端	yuanduan,yd
远端胞浆	yuanduanbaojiang,ydbj
远端工作	yuanduangongzuo,ydgz
远端转移	yuanduanzhuanyi,ydzy
远遁	yuandun,yd
远遯	yuandun,yd
远恶	yuane,ye
远迩	yuaner,ye
远藩	yuanfan,yf
远范	yuanfan,yf
远方	yuanfang,yf
远方来鸿	yuanfanglaihong,yflh
远房	yuanfang,yf
远房地	yuanfangde,yfd
远放	yuanfang,yf
远非	yuanfei,yf
远非如此	yuanfeiruci,yfrc
远封	yuanfeng,yf
远孚	yuanfu,yf
远服	yuanfu,yf
远负	yuanfu,yf
远赴	yuanfu,yf
远概	yuangai,yg
远隔	yuange,yg
远隔千里	yuangeqianli,ygql
远公	yuangong,yg
远公社	yuangongshe,ygs
远古	yuangu,yg
远顾	yuangu,yg
远关	yuanguan,yg
远观	yuanguan,yg
远官	yuanguan,yg
远光	yuanguang,yg
远光灯	yuanguangdeng,ygd
远国	yuanguo,yg
远过	yuanguo,yg
远海	yuanhai,yh
远害	yuanhai,yh
远汉	yuanhan,yh
远翰	yuanhan,yh
远航	yuanhang,yh
远号	yuanhao,yh
远耗	yuanhao,yh
远恨	yuanhen,yh
远候	yuanhou,yh
远忽	yuanhu,yh
远胡	yuanhu,yh
远话	yuanhua,yh
远怀	yuanhuai,yh
远怀近集	yuanhuaijinji,yhjj
远宦	yuanhuan,yh
远荒	yuanhuang,yh
远祸	yuanhuo,yh
远击	yuanji,yj
远集	yuanji,yj
远计	yuanji,yj
远纪	yuanji,yj
远迹	yuanji,yj
远寂	yuanji,yj
远寄	yuanji,yj
远绩	yuanji,yj
远暨	yuanji,yj
远贾	yuanjia,yj
远驾	yuanjia,yj
远嫁	yuanjia,yj
远见	yuanjian,yj
远见卓识	yuanjianzhuoshi,yjzs
远鉴	yuanjian,yj
远交	yuanjiao,yj
远交近攻	yuanjiaojingong,yjjg
远郊	yuanjiao,yj
远郊区	yuanjiaoqu,yjq
远侥	yuanyao,yy
远徼	yuanjiao,yj
远节	yuanjie,yj
远界	yuanjie,yj
