遥拜	yaobai,yb
遥碧	yaobi,yb
遥不可及	yaobukeji,ybkj
遥测	yaoce,yc
遥岑	yaocen,yc
遥程	yaocheng,yc
遥传	yaochuan,yc
遥祠	yaoci,yc
遥大	yaoda,yd
遥带	yaodai,yd
遥荡	yaodang,yd
遥地里	yaodili,ydl
遥堤	yaodi,yd
遥睇	yaodi,yd
遥睹	yaodu,yd
遥度	yaodu,yd
遥芬	yaofen,yf
遥感	yaogan,yg
遥观	yaoguan,yg
遥汉	yaohan,yh
遥呼相应	yaohuxiangying,yhxy
遥集	yaoji,yj
遥纪	yaoji,yj
遥迹	yaoji,yj
遥祭	yaoji,yj
遥缄	yaojian,yj
遥见	yaojian,yj
遥街	yaojie,yj
遥久	yaojiu,yj
遥看	yaokan,yk
遥空	yaokong,yk
遥控	yaokong,yk
遥控操作	yaokongcaozuo,ykcz
遥控车	yaokongche,ykc
遥控器	yaokongqi,ykq
遥阔	yaokuo,yk
遥礼	yaoli,yl
遥领	yaoling,yl
遥迈	yaomai,ym
遥缅	yaomian,ym
遥目	yaomu,ym
遥辇	yaonian,yn
遥念	yaonian,yn
遥袅	yaoniao,yn
遥企	yaoqi,yq
遥青	yaoqing,yq
遥情	yaoqing,yq
遥穹	yaoqiong,yq
遥摄	yaoshe,ys
遥深	yaoshen,ys
遥识	yaoshi,ys
遥视	yaoshi,ys
遥逝	yaoshi,ys
遥授	yaoshou,ys
遥署	yaoshu,ys
遥思	yaosi,ys
遥悚	yaosong,ys
遥送	yaosong,ys
遥天	yaotian,yt
遥眺	yaotiao,yt
遥同	yaotong,yt
遥统	yaotong,yt
遥涂	yaotu,yt
遥途	yaotu,yt
遥望	yaowang,yw
遥闻	yaowen,yw
遥夕	yaoxi,yx
遥羡	yaoxian,yx
遥相呼应	yaoxianghuying,yxhy
遥香草	yaoxiangcao,yxc
遥想	yaoxiang,yx
遥谢	yaoxie,yx
遥心	yaoxin,yx
遥兴	yaoxing,yx
遥绪	yaoxu,yx
遥衍	yaoyan,yy
遥眼	yaoyan,yy
遥艳	yaoyan,yy
遥仰	yaoyang,yy
遥遥	yao,y
遥遥地	yaode,yd
遥遥华胄	yaohuazhou,yhz
遥遥领先	yaolingxian,ylx
遥遥无期	yaowuqi,ywq
遥遥相对	yaoxiangdui,yxd
遥遥在望	yaozaiwang,yzw
遥冶	yaoye,yy
遥曳	yaoye,yy
遥夜	yaoye,yy
遥忆	yaoyi,yy
遥役	yaoyi,yy
遥裔	yaoyi,yy
遥应	yaoying,yy
遥语	yaoyu,yy
遥源	yaoyuan,yy
遥远	yaoyuan,yy
遥远地	yaoyuande,yyd
遥瞻	yaozhan,yz
遥长	yaochang,yc
遥知	yaozhi,yz
遥指	yaozhi,yz
遥指空中雁做羹	yaozhikongzhongyanzuogeng,yzkzyzg
遥制	yaozhi,yz
遥胄	yaozhou,yz
遥瞩	yaozhu,yz
遥祝	yaozhu,yz
