部案	buan,ba
部颁	buban,bb
部办	buban,bb
部别	bubie,bb
部曹	bucao,bc
部臣	buchen,bc
部陈	buchen,bc
部丞	bucheng,bc
部次	buci,bc
部从	bucong,bc
部大	buda,bd
部单	budan,bd
部党	budang,bd
部督	budu,bd
部队	budui,bd
部发	bufa,bf
部费	bufei,bf
部分	bufen,bf
部分地	bufende,bfd
部分分式	bufenshi,bfs
部分工时	bufengongshi,bfgs
部分切除	bufenqiechu,bfqc
部份地	bufende,bfd
部份性地	bufenxingde,bfxd
部封	bufeng,bf
部覆	bufu,bf
部豪	buhao,bh
部画	buhua,bh
部汇	buhui,bh
部集	buji,bj
部寄	buji,bj
部件	bujian,bj
部将	bujiang,bj
部界	bujie,bj
部居	buju,bj
部聚	buju,bj
部库	buku,bk
部款	bukuan,bk
部郎	bulang,bl
部勒	bule,bl
部类	bulei,bl
部吏	buli,bl
部例	buli,bl
部列	bulie,bl
部领	buling,bl
部娄	bulou,bl
部率	bulu,bl
部落	buluo,bl
部落格	buluoge,blg
部落客	buluoke,blk
部门	bumen,bm
部民	bumin,bm
部目	bumu,bm
部判	bupan,bp
部凭	buping,bp
部曲	buqu,bq
部阙	buque,bq
部人	buren,br
部使	bushi,bs
部事	bushi,bs
部试	bushi,bs
部守	bushou,bs
部首	bushou,bs
部首编排法	bushoubianpaifa,bsbpf
部属	bushu,bs
部署	bushu,bs
部送	busong,bs
部索	busuo,bs
部堂	butang,bt
部帑	butang,bt
部填	butian,bt
部帖	butie,bt
部头	butou,bt
部委	buwei,bw
部位	buwei,bw
部文	buwen,bw
部握	buwo,bw
部伍	buwu,bw
部务	buwu,bw
部系	buxi,bx
部辖	buxia,bx
部下	buxia,bx
部县	buxian,bx
部校	buxiao,bx
部星	buxing,bx
部选	buxuan,bx
部押	buya,by
部议	buyi,by
部引	buyin,by
部元	buyuan,by
部员	buyuan,by
部院	buyuan,by
部运	buyun,by
部长	buzhang,bz
部长会	buzhanghui,bzh
部长会议	buzhanghuiyi,bzhy
部长级	buzhangji,bzj
部长级会议	buzhangjihuiyi,bzjhy
部帐	buzhang,bz
部照	buzhao,bz
部者	buzhe,bz
部阵	buzhen,bz
部执	buzhi,bz
部职	buzhi,bz
部帙	buzhi,bz
部秩	buzhi,bz
部众	buzhong,bz
部咨	buzi,bz
部卒	buzu,bz
部族	buzu,bz
