鄂褒	ebao,eb
鄂被	ebei,eb
鄂博	ebo,eb
鄂不	ebu,eb
鄂城	echeng,ec
鄂城区	echengqu,ecq
鄂棣	edi,ed
鄂都	edou,ed
鄂端	eduan,ed
鄂鄂	e,e
鄂尔多	eerduo,eed
鄂尔多斯	eerduosi,eeds
鄂尔多斯高原	eerduosigaoyuan,eedsgy
鄂尔多斯沙漠	eerduosishamo,eedssm
鄂尔多斯市	eerduosishi,eedss
鄂霍次克海	ehuocikehai,ehckh
鄂君	ejun,ej
鄂君被	ejunbei,ejb
鄂君船	ejunchuan,ejc
鄂君翠被	ejuncuibei,ejcb
鄂君香被	ejunxiangbei,ejxb
鄂君舟	ejunzhou,ejz
鄂伦春	elunchun,elc
鄂伦春自治旗	elunchunzizhiqi,elczzq
鄂伦春族	elunchunzu,elcz
鄂衾	eqin,eq
鄂然	eran,er
鄂申	eshen,es
鄂拓克	etuoke,etk
鄂图曼帝国	etumandiguo,etmdg
鄂托	etuo,et
鄂托克	etuoke,etk
鄂托克旗	etuokeqi,etkq
鄂托克前旗	etuokeqianqi,etkqq
鄂王	ewang,ew
鄂温克语	ewenkeyu,ewky
鄂温克族	ewenkezu,ewkz
鄂温克族自治旗	ewenkezuzizhiqi,ewkzzzq
鄂县	exian,ex
鄂垣	eyuan,ey
鄂州	ezhou,ez
鄂州市	ezhoushi,ezs
鄂舟	ezhou,ez
鄂渚	ezhu,ez
鄂足	ezu,ez
