重庆	chongqing,cq
重庆大学	chongqingdaxue,cqdx
重庆科技学院	chongqingkejixueyuan,cqkjxy
重庆市	chongqingshi,cqs
重蔼	zhongai,za
重爱	zhongai,za
重犴	zhongan,za
重案	zhongan,za
重拜	zhongbai,zb
重版	chongban,cb
重办	zhongban,zb
重瓣	chongban,cb
重瓣胃	zhongbanwei,zbw
重磅	zhongbang,zb
重磅炸弹	zhongbangzhadan,zbzd
重宝	zhongbao,zb
重本	zhongben,zb
重本轻末	zhongbenqingmo,zbqm
重本抑末	zhongbenyimo,zbym
重笨	zhongben,zb
重比	zhongbi,zb
重币	zhongbi,zb
重闭	zhongbi,zb
重狴	zhongbi,zb
重碧	zhongbi,zb
重壁	zhongbi,zb
重臂	zhongbi,zb
重璧	zhongbi,zb
重编	chongbian,cb
重表	zhongbiao,zb
重冰	zhongbing,zb
重兵	zhongbing,zb
重柄	zhongbing,zb
重病	zhongbing,zb
重病号	zhongbinghao,zbh
重病特护	zhongbingtehu,zbth
重病特护区	zhongbingtehuqu,zbthq
重播	chongbo,cb
重帛	chongbo,cb
重布	zhongbu,zb
重才	zhongcai,zc
重财轻义	zhongcaiqingyi,zcqy
重采	chongcai,cc
重彩	zhongcai,zc
重彩号	zhongcaihao,zch
重残	zhongcan,zc
重苍	zhongcang,zc
重操旧业	chongcaojiuye,ccjy
重插	chongcha,cc
重查	chongcha,cc
重茬	zhongcha,zc
重差	zhongcha,zc
重唱	chongchang,cc
重车	zhongche,zc
重臣	zhongchen,zc
重陈	zhongchen,zc
重榇	zhongchen,zc
重称	zhongcheng,zc
重城	zhongcheng,zc
重惩	zhongcheng,zc
重秤	zhongcheng,zc
重池	zhongchi,zc
重迟	zhongchi,zc
重宠	zhongchong,zc
重裯	zhongdao,zd
重雠	zhongchou,zc
重出	chongchu,cc
重出江湖	chongchujianghu,ccjh
重处	zhongchu,zc
重畜	zhongchu,zc
重疮	zhongchuang,zc
重床迭架	chongchuangdiejia,ccdj
重床迭屋	chongchuangdiewu,ccdw
重床叠架	chongchuangdiejia,ccdj
重床叠屋	chongchuangdiewu,ccdw
重创	zhongchuang,zc
重唇钥	zhongchunyue,zcy
重唇音	zhongchunyin,zcy
重唇龠	zhongchunyue,zcy
重慈	zhongci,zc
重赐	zhongci,zc
重挫	zhongcuo,zc
重沓	chongta,ct
重大	zhongda,zd
重大地	zhongdade,zdd
重代	zhongdai,zd
重戴	zhongdai,zd
重担	zhongdan,zd
重弹	chongtan,ct
重蹈	chongdao,cd
重蹈覆辙	chongdaofuzhe,cdfz
重倒	zhongdao,zd
重德	zhongde,zd
重地	zhongdi,zd
重嫡	zhongdi,zd
重翟	zhongzhai,zz
重典	zhongdian,zd
重点	zhongdian,zd
重点校	zhongdianxiao,zdx
重甸甸	zhongdian,zd
重殿	zhongdian,zd
重迭	chongdie,cd
重叠	chongdie,cd
重顶帐	zhongdingzhang,zdz
重订	zhongding,zd
重定向	chongdingxiang,cdx
重读	chongdu,cd
重睹	zhongdu,zd
重睹天日	chongdutianri,cdtr
重度	zhongdu,zd
重恶	zhonge,ze
重栭	zhonger,ze
重耳	zhonger,ze
重饵	zhonger,ze
重罚	zhongfa,zf
重罚不用	zhongfabuyong,zfby
重罸	zhongfa,zf
重法	zhongfa,zf
重藩	zhongfan,zf
重烦	zhongfan,zf
重繁	zhongfan,zf
重返	chongfan,cf
重犯	chongfan,cf
重访	chongfang,cf
重氛	zhongfen,zf
重棼	zhongfen,zf
重风	zhongfeng,zf
重封	zhongfeng,zf
重逢	chongfeng,cf
重拂	zhongfu,zf
重服	zhongfu,zf
重桴	zhongfu,zf
重负	zhongfu,zf
重阜	zhongfu,zf
重复	chongfu,cf
重复地	chongfude,cfd
重复地说	chongfudeshuo,cfds
重复法	chongfufa,cff
重复节	chongfujie,cfj
重复使力伤害	chongfushilishanghai,cfslsh
重复性	chongfuxing,cfx
重复性劳损	chongfuxinglaosun,cfxls
重复语境	chongfuyujing,cfyj
重赴鹿鸣	zhongfuluming,zflm
重赴琼林	zhongfuqionglin,zfql
重富	zhongfu,zf
重赋	zhongfu,zf
重盖	zhonggai,zg
重冈	zhonggang,zg
重刚	chonggang,cg
重鬲	zhongge,zg
重铬酸钾	chonggesuanjia,cgsj
重根	chonggen,cg
重工	zhonggong,zg
重工业	zhonggongye,zgy
重攻	zhonggong,zg
重宫	zhonggong,zg
重构	chonggou,cg
重购	zhonggou,zg
重估	chonggu,cg
重辜	zhonggu,zg
重毂	zhonggu,zg
重固	zhonggu,zg
重故	zhonggu,zg
重痼	zhonggu,zg
重卦	zhonggua,zg
重挂	chonggua,cg
重关	zhongguan,zg
