钞暴	chaobao,cb
钞本	chaoben,cb
钞币	chaobi,cb
钞拨	chaobo,cb
钞撮	chaocuo,cc
钞盗	chaodao,cd
钞肚皮	chaodupi,cdp
钞掇	chaoduo,cd
钞夺	chaoduo,cd
钞儿	chaoer,ce
钞法	chaofa,cf
钞犯	chaofan,cf
钞关	chaoguan,cg
钞击	chaoji,cj
钞集	chaoji,cj
钞角	chaojiao,cj
钞劫	chaojie,cj
钞截	chaojie,cj
钞局	chaoju,cj
钞绝	chaojue,cj
钞胪	chaolu,cl
钞虏	chaolu,cl
钞录	chaolu,cl
钞録	chaolu,cl
钞掠	chaolue,cl
钞略	chaolue,cl
钞逻	chaoluo,cl
钞锣	chaoluo,cl
钞旁钱	chaopangqian,cpq
钞剽	chaopiao,cp
钞票	chaopiao,cp
钞骑	chaoqi,cq
钞窃	chaoqie,cq
钞书胥	chaoshuxu,csx
钞誊	chaoteng,ct
钞突	chaotu,ct
钞袭	chaoxi,cx
钞校	chaoxiao,cx
钞写	chaoxie,cx
钞胥	chaoxu,cx
钞选	chaoxuan,cx
钞引	chaoyin,cy
钞引法	chaoyinfa,cyf
钞引库	chaoyinku,cyk
钞贼	chaozei,cz
钞缀	chaozhui,cz
