铅白	qianbai,qb
铅板	qianban,qb
铅版	qianban,qb
铅笔	qianbi,qb
铅笔刀	qianbidao,qbd
铅笔盒	qianbihe,qbh
铅笔画	qianbihua,qbh
铅玻璃	qianboli,qbl
铅箔	qianbo,qb
铅部	qianbu,qb
铅察	qiancha,qc
铅垂线	qianchuixian,qcx
铅锤	qianchui,qc
铅带	qiandai,qd
铅黛	qiandai,qd
铅丹	qiandan,qd
铅弹	qiandan,qd
铅刀	qiandao,qd
铅刀一割	qiandaoyige,qdyg
铅鼎	qianding,qd
铅钝	qiandun,qd
铅锷	qiane,qe
铅粉	qianfen,qf
铅封	qianfeng,qf
铅锋	qianfeng,qf
铅膏	qiangao,qg
铅汞	qiangong,qg
铅管工	qianguangong,qgg
铅罐	qianguan,qg
铅焊	qianhan,qh
铅红	qianhong,qh
铅虎	qianhu,qh
铅花	qianhua,qh
铅华	qianhua,qh
铅黄	qianhuang,qh
铅灰	qianhui,qh
铅坑	qiankeng,qk
铅矿	qiankuang,qk
铅镴	qianla,ql
铅泪	qianlei,ql
铅粒	qianli,ql
铅码	qianma,qm
铅墨	qianmo,qm
铅母	qianmu,qm
铅幕	qianmu,qm
铅驽	qiannu,qn
铅砌	qianqi,qq
铅钱	qian,q
铅椠	qian,q
铅球	qianqiu,qq
铅容	qianrong,qr
铅色	qianse,qs
铅砂	qiansha,qs
铅山	yanshan,ys
铅山县	yanshanxian,ysx
铅霜	qianshuang,qs
铅水	qianshui,qs
铅丝	qiansi,qs
铅素	qiansu,qs
铅酸蓄电池	qiansuanxudianchi,qsxdc
铅擿	qianti,qt
铅田	qiantian,qt
铅条	qiantiao,qt
铅铁	qiantie,qt
铅桶	qiantong,qt
铅丸	qianwan,qw
铅锡	qianxi,qx
铅铦	qianxian,qx
铅药	qianyao,qy
铅印	qianyin,qy
铅泽	qianze,qz
铅摘	qianzhai,qz
铅直	qianzhi,qz
铅中毒	qianzhongdu,qzd
铅筑	qianzhu,qz
铅子	qianzi,qz
铅字	qianzi,qz
铅字合金	qianzihejin,qzhj
