锡安	xian,xa
锡安山	xianshan,xas
锡伯	xibo,xb
锡伯族	xibozu,xbz
锡箔	xibo,xb
锡箔纸	xibozhi,xbz
锡赐	xici,xc
锡当河	xidanghe,xdh
锡荡锣	xidangluo,xdl
锡锭	xiding,xd
锡尔河	xierhe,xeh
锡飞	xifei,xf
锡封	xifeng,xf
锡夫人	xifuren,xfr
锡服	xifu,xf
锡福	xifu,xf
锡贡	xigong,xg
锡圭	xigui,xg
锡珪	xigui,xg
锡号	xihao,xh
锡环	xihuan,xh
锡婚	xihun,xh
锡霍特	xihuote,xht
锡霍特山脉	xihuoteshanmai,xhtsm
锡监	xijian,xj
锡匠	xijiang,xj
锡金	xijin,xj
锡剧	xiju,xj
锡爵	xijue,xj
锡克	xike,xk
锡克教	xikejiao,xkj
锡矿	xikuang,xk
锡拉库萨	xilakusa,xlks
锡蜡	xila,xl
锡镴	xila,xl
锡赉	xilai,xl
锡兰	xilan,xl
锡类	xilei,xl
锡林郭勒	xilinguole,xlgl
锡林郭勒盟	xilinguolemeng,xlglm
锡林浩特	xilinhaote,xlht
锡林浩特市	xilinhaoteshi,xlhts
锡麻	xima,xm
锡命	ximing,xm
锡年	xinian,xn
锡奴	xinu,xn
锡品	xipin,xp
锡器	xiqi,xq
锡铅	xiqian,xq
锡钱	xiqian,xq
锡壤	xirang,xr
锡人	xiren,xr
锡山	xishan,xs
锡山区	xishanqu,xsq
锡蛇	xishe,xs
锡社	xishe,xs
锡石	xishi,xs
锡衰	xishuai,xs
锡土	xitu,xt
锡瓦	xiwa,xw
锡儛	xiwu,xw
锡锡	xi,x
锡羡	xixian,xx
锡响	xixiang,xx
锡砚	xiyan,xy
锡燕	xiyan,xy
锡引	xiyin,xy
锡胤	xiyin,xy
锡佑	xiyou,xy
锡与	xiyu,xy
锡予	xiyu,xy
锡杖	xizhang,xz
锡纸	xizhi,xz
锡卓	xizhuo,xz
锡嘴雀	xizuique,xzq
