门阿	mena,ma
门巴族	menbazu,mbz
门把	menba,mb
门板	menban,mb
门瓣	menban,mb
门榜	menbang,mb
门牓	menbang,mb
门包	menbao,mb
门豹	menbao,mb
门杯	menbei,mb
门鼻儿	menbier,mbe
门庇	menbi,mb
门边框	menbiankuang,mbk
门匾	menbian,mb
门表	menbiao,mb
门宾	menbin,mb
门钹	menbo,mb
门不停宾	menbutingbin,mbtb
门不夜关	menbuyeguan,mbyg
门不夜扃	menbuyejiong,mbyj
门簿	menbu,mb
门才	mencai,mc
门彩	mencai,mc
门插关	menchaguan,mcg
门插关儿	menchaguaner,mcge
门插管	menchaguan,mcg
门朝	menchao,mc
门齿	menchi,mc
门宠	menchong,mc
门窗	menchuang,mc
门床马道	menchuangmadao,mcmd
门词	menci,mc
门次	menci,mc
门刺	menci,mc
门从	mencong,mc
门大夫	mendaifu,mdf
门单	mendan,md
门单户薄	mendanhubo,mdhb
门殚户尽	mendanhujin,mdhj
门当户对	mendanghudui,mdhd
门挡	mendang,md
门到户说	mendaohushuo,mdhs
门到门	mendao,md
门到门运输	mendaoyunshu,mdys
门道	mendao,md
门地	mendi,md
门灯	mendeng,md
门弟	mendi,md
门弟子	mendizi,mdz
门第	mendi,md
门店	mendian,md
门垫	mendian,md
门吊	mendiao,md
门吊儿	mendiaoer,mde
门丁	mending,md
门钉	mending,md
门冬	mendong,md
门洞	mendong,md
门斗	mendou,md
门对	mendui,md
门墩	mendun,md
门垛	menduo,md
门额	mene,me
门儿	mener,me
门伐	menfa,mf
门阀	menfa,mf
门法	menfa,mf
门藩	menfan,mf
门范	menfan,mf
门枋	menfang,mf
门房	menfang,mf
门扉	menfei,mf
门分	menfen,mf
门风	menfeng,mf
门封	menfeng,mf
门缝	menfeng,mf
门夫	menfu,mf
门符	menfu,mf
门父	menfu,mf
门附	menfu,mf
门干	mengan,mg
门岗	mengang,mg
门阁	menge,mg
门公	mengong,mg
门功	mengong,mg
门构	mengou,mg
门关	menguan,mg
门观	menguan,mg
门官	menguan,mg
门倌	menguan,mg
门馆	menguan,mg
门馆先生	menguanxiansheng,mgxs
门桄	menguang,mg
门濠	menhao,mh
门号	menhao,mh
门合	menhe,mh
门阖	menhe,mh
门衡	menheng,mh
门候	menhou,mh
门户	menhu,mh
门户册	menhuce,mhc
门户差拨	menhuchaibo,mhcb
门户开放	menhukaifang,mhkf
门户人	menhuren,mhr
门户人家	menhurenjia,mhrj
门户网站	menhuwangzhan,mhwz
门户之见	menhuzhijian,mhzj
门户之争	menhuzhizheng,mhzz
门画鸡儿	menhuajier,mhje
门环	menhuan,mh
门宦	menhuan,mh
门祸	menhuo,mh
门基	menji,mj
门畿	menji,mj
门籍	menji,mj
门戟	menji,mj
门家	menjia,mj
门颊	menjia,mj
门笺	menjian,mj
门楗	menjian,mj
门键	menjian,mj
门将	menjiang,mj
门奖	menjiang,mj
门匠	menjiang,mj
门铰	menjiao,mj
门教	menjiao,mj
门阶	menjie,mj
门阶户席	menjiehuxi,mjhx
门节	menjie,mj
门捷列夫	menjieliefu,mjlf
门禁	menjin,mj
门禁森严	menjinsenyan,mjsy
门警	menjing,mj
门径	menjing,mj
门迳	menjing,mj
门静脉	menjingmai,mjm
