闻彻	wenche,wc
闻宠若惊	wenchongruojing,wcrj
闻出	wenchu,wc
闻达	wenda,wd
闻到	wendao,wd
闻道	wendao,wd
闻得	wende,wd
闻笛	wendi,wd
闻而生畏	wenershengwei,wesw
闻风	wenfeng,wf
闻风而动	wenfengerdong,wfed
闻风而起	wenfengerqi,wfeq
闻风而逃	wenfengertao,wfet
闻风而兴	wenfengerxing,wfex
闻风而至	wenfengerzhi,wfez
闻风破胆	wenfengpodan,wfpd
闻风丧胆	wenfengsangdan,wfsd
闻风先遁	wenfengxiandun,wfxd
闻风响应	wenfengxiangying,wfxy
闻风远遁	wenfengyuandun,wfyd
闻风远扬	wenfengyuanyang,wfyy
闻妇	wenfu,wf
闻过则喜	wenguozexi,wgzx
闻化	wenhua,wh
闻慧	wenhui,wh
闻鸡	wenji,wj
闻鸡起舞	wenjiqiwu,wjqw
闻鸡人	wenjiren,wjr
闻鸡舞	wenjiwu,wjw
闻家	wenjia,wj
闻见	wenjian,wj
闻健	wenjian,wj
闻徤	wenjian,wj
闻教	wenjiao,wj
闻雷	wenlei,wl
闻雷失箸	wenleishizhu,wlsz
闻令	wenling,wl
闻名	wenming,wm
闻名不如见面	wenmingburujianmian,wmbrjm
闻名丧胆	wenmingsangdan,wmsd
闻名遐迩	wenmingxiaer,wmxe
闻名于世	wenmingyushi,wmys
闻命	wenming,wm
闻人	wenren,wr
闻融敦厚	wenrongdunhou,wrdh
闻如是	wenrushi,wrs
闻善	wenshan,ws
闻上去	wenshangqu,wsq
闻韶	wenshao,ws
闻生没死	wenshengmeisi,wsms
闻声	wensheng,ws
闻声相思	wenshengxiangsi,wsxs
闻识	wenshi,ws
闻士	wenshi,ws
闻说	wenshuo,ws
闻诵	wensong,ws
闻孙	wensun,ws
闻所不闻	wensuobu,wsb
闻所未闻	wensuowei,wsw
闻听	wenting,wt
闻望	wenwang,ww
闻闻	wen,w
闻问	wen,w
闻悉	wenxi,wx
闻喜	wenxi,wx
闻喜县	wenxixian,wxx
闻喜宴	wenxiyan,wxy
闻信	wenxin,wx
闻讯	wenxun,wx
闻言	wenyan,wy
闻样	wenyang,wy
闻噎废食	wenyefeishi,wyfs
闻一多	wenyiduo,wyd
闻一知二	wenyizhier,wyze
闻一知十	wenyizhishi,wyzs
闻义	wenyi,wy
闻誉	wenyu,wy
闻早	wenzao,wz
闻者足戒	wenzhezujie,wzzj
闻诊	wenzhen,wz
闻知	wenzhi,wz
闻奏	wenzou,wz
