闾部	lubu,lb
闾党	ludang,ld
闾峰	lufeng,lf
闾闬	luhan,lh
闾互	luhu,lh
闾户	luhu,lh
闾井	lujing,lj
闾居	luju,lj
闾娵	luju,lj
闾葵	lukui,lk
闾里	luli,ll
闾率	lu,l
闾落	luluo,ll
闾糜	lumi,lm
闾陌	lumo,lm
闾墓	lumu,lm
闾弄	lunong,ln
闾丘	luqiu,lq
闾山	lushan,ls
闾舍	lushe,ls
闾社	lushe,ls
闾师	lushi,ls
闾史	lushi,ls
闾市	lushi,ls
闾室	lushi,ls
闾姝	lushu,ls
闾肆	lusi,ls
闾亭	luting,lt
闾尾	luwei,lw
闾伍	luwu,lw
闾巷	luxiang,lx
闾衖	lulong,ll
闾胥	luxu,lx
闾须	luxu,lx
闾阎	luyan,ly
闾阎安堵	luyanandu,lyad
闾阎扑地	luyanpudi,lypd
闾阎医工	luyanyigong,lyyg
闾邑	luyi,ly
闾右	luyou,ly
闾阈	luyu,ly
闾中	luzhong,lz
闾左	luzuo,lz
