阅报栏	yuebaolan,ybl
阅边	yuebian,yb
阅兵	yuebing,yb
阅兵式	yuebingshi,ybs
阅操	yuecao,yc
阅臣	yuechen,yc
阅城	yuecheng,yc
阅川	yuechuan,yc
阅定	yueding,yd
阅读	yuedu,yd
阅读广度	yueduguang,ydg
阅读理解	yuedulijie,ydlj
阅读器	yueduqi,ydq
阅读时间	yuedushijian,ydsj
阅读障碍	yueduzhangai,ydza
阅读装置	yueduzhuangzhi,ydzz
阅改	yuegai,yg
阅货	yuehuo,yh
阅稼	yuejia,yj
阅简	yuejian,yj
阅见	yuejian,yj
阅荐	yuejian,yj
阅具	yueju,yj
阅卷	yuejuan,yj
阅军	yuejun,yj
阅看	yuekan,yk
阅览	yuelan,yl
阅览室	yuelanshi,yls
阅乐	yuele,yl
阅历	yueli,yl
阅马	yuema,ym
阅男无数	yuenanwushu,ynws
阅年	yuenian,yn
阅女无数	yuenuwushu,ynws
阅人	yueren,yr
阅人多矣	yuerenduoyi,yrdy
阅日	yueri,yr
阅射	yueshe,ys
阅审	yueshen,ys
阅胜	yuesheng,ys
阅时	yueshi,ys
阅实	yueshi,ys
阅世	yueshi,ys
阅市	yueshi,ys
阅事	yueshi,ys
阅视	yueshi,ys
阅试	yueshi,ys
阅水	yueshui,ys
阅岁	yuesui,ys
阅听人	yuetingren,ytr
阅微草堂笔记	yueweicaotangbiji,ywctbj
阅问	yuewen,yw
阅武	yuewu,yw
阅习	yuexi,yx
阅戏	yuexi,yx
阅心	yuexin,yx
阅旬	yuexun,yx
阅狱	yueyu,yy
阅月	yue,y
阅正	yuezheng,yz
阅致	yuezhi,yz
