陈爱莲	chenailian,cal
陈巴尔虎旗	chenbaerhuqi,cbehq
陈霸先	chenbaxian,cbx
陈白	chenbai,cb
陈宝	chenbao,cb
陈宝箴	chenbaozhen,cbz
陈报	chenbao,cb
陈弊	chenbi,cb
陈编	chenbian,cb
陈辩	chenbian,cb
陈表	chenbiao,cb
陈兵	chenbing,cb
陈病	chenbing,cb
陈波儿	chenboer,cbe
陈蕃室	chenfanshi,cfs
陈蕃榻	chenfanta,cft
陈蕃下榻	chenfanxiata,cfxt
陈伯吹	chenbochui,cbc
陈伯达	chenboda,cbd
陈布	chenbu,cb
陈仓	chencang,cc
陈仓区	chencangqu,ccq
陈策	chence,cc
陈忱	chen,c
陈陈	chen,c
陈陈相因	chenxiangyin,cxy
陈诚	chencheng,cc
陈赤	chenchi,cc
陈冲	chenchong,cc
陈畴	chenchou,cc
陈刍	chenchu,cc
陈词	chenci,cc
陈词滥调	chencilandiao,ccld
陈辞	chenci,cc
陈辞滥调	chencilandiao,ccld
陈醋	chencu,cc
陈达	chenda,cd
陈大齐	chendaqi,cdq
陈道	chendao,cd
陈德	chende,cd
陈德良	chendeliang,cdl
陈登科	chendengke,cdk
陈独秀	chenduxiu,cdx
陈渎	chendu,cd
陈牍	chendu,cd
陈黩	chendu,cd
陈对	chendui,cd
陈痾	chenke,ck
陈娥	chene,ce
陈发	chenfa,cf
陈方安生	chenfangansheng,cfas
陈放	chenfang,cf
陈凤	chenfeng,cf
陈伏	chenfu,cf
陈浮	chenfu,cf
陈腐	chenfu,cf
陈腐地	chenfude,cfd
陈荄	chengai,cg
陈告	chengao,cg
陈根	chengen,cg
陈耕	chengeng,cg
陈羹	chengeng,cg
陈公博	chengongbo,cgb
陈宫镜	chengongjing,cgj
陈恭尹	chengongyin,cgy
陈古刺今	chengucijin,cgcj
陈谷	chengu,cg
陈谷子烂芝麻	chenguzilanzhima,cgzlzm
陈故	chengu,cg
陈卦	chengua,cg
陈冠希	chenguanxi,cgx
陈规	chengui,cg
陈规旧习	chenguijiuxi,cgjx
陈规陋习	chenguilouxi,cglx
陈贺	chenhe,ch
陈恒弑君	chenhengshijun,chsj
陈衡恪	chenhengke,chk
陈红	chenhong,ch
陈后主	chenhouzhu,chz
陈厚	chenhou,ch
陈化	chenhua,ch
陈晦	chenhui,ch
陈秽	chenhui,ch
陈货	chenhuo,ch
陈迹	chenji,cj
陈家巷	chenjiaxiang,cjx
陈家紫	chenjiazi,cjz
陈见	chenjian,cj
陈建仁	chenjianren,cjr
陈谏	chenjian,cj
陈娇	chenjiao,cj
陈结	chenjie,cj
陈进	chenjin,cj
陈惊座	chenjingzuo,cjz
陈井	chenjing,cj
陈景润	chenjingrun,cjr
陈镜开	chenjingkai,cjk
陈炯明	chenjiongming,cjm
陈久	chenjiu,cj
陈酒	chenjiu,cj
陈旧	chenjiu,cj
陈举	chenju,cj
陈具	chenju,cj
陈凯歌	chenkaige,ckg
陈疴	chenke,ck
陈可雄	chenkexiong,ckx
陈烂	chenlan,cl
陈郎	chenlang,cl
陈姥姥	chenlao,cl
陈雷	chenlei,cl
陈雷胶漆	chenleijiaoqi,cljq
陈鲤庭	chenliting,clt
陈力	chenli,cl
陈力就列	chenlijiulie,cljl
陈力列	chenlilie,cll
陈立夫	chenlifu,clf
陈粮	chenliang,cl
陈列	chenlie,cl
陈列品	chenliepin,clp
陈列室	chenlieshi,cls
陈列台	chenlietai,clt
陈琳檄	chenlinxi,clx
陈留八俊	chenliubajun,clbj
陈露	chenlu,cl
陈虑	chenlu,cl
陈论	chenlun,cl
陈妈妈	chenma,cm
陈美	chenmei,cm
陈昧	chenmei,cm
陈米	chenmi,cm
陈明	chenming,cm
陈谟	chenmo,cm
陈墨香	chenmoxiang,cmx
陈木胜	chenmusheng,cms
陈纳德	chennade,cnd
陈年	chennian,cn
陈酿	chenniang,cn
陈臬	chennie,cn
陈农	chennong,cn
陈皮	chenpi,cp
陈篇	chenpian,cp
陈平	chenping,cp
陈平从默	chenpingcongmo,cpcm
陈平分肉	chenpingfenrou,cpfr
陈平席	chenpingxi,cpx
陈平宰社	chenpingzaishe,cpzs
陈婆婆	chenpo,cp
陈其迈	chenqimai,cqm
陈祈	chenqi,cq
陈乞	chenqi,cq
陈启	chenqi,cq
陈器	chenqi,cq
陈欠	chenqian,cq
陈桥兵变	chenqiaobingbian,cqbb
陈情	chenqing,cq
陈情表	chenqingbiao,cqb
陈请	chenqing,cq
陈庆炎	chenqingyan,cqy
陈丘	chenqiu,cq
陈让	chenrang,cr
陈人	chenren,cr
陈仁锡	chenrenxi,crx
陈戎	chenrong,cr
陈若曦	chenruoxi,crx
陈善闭邪	chenshanbixie,csbx
陈绍	chenshao,cs
陈设	chenshe,cs
陈省身	chenxingshen,cxs
陈胜	chensheng,cs
陈胜吴广起义	chenshengwuguangqiyi,cswgqy
陈尸	chenshi,cs
陈师	chenshi,cs
陈师道	chenshidao,csd
陈师鞠旅	chenshijulu,csjl
陈诗	chenshi,cs
陈寔遗盗	chenshiweidao,cswd
陈世美	chenshimei,csm
陈示	chenshi,cs
陈事	chenshi,cs
陈室	chenshi,cs
陈首	chenshou,cs
陈寿	chenshou,cs
陈书	chenshu,cs
陈叔宝	chenshubao,csb
陈熟	chenshu,cs
陈述	chenshu,cs
陈述句	chenshuju,csj
陈述书	chenshu,cs
陈水扁	chenshuibian,csb
陈说	chenshuo,cs
陈思	chensi,cs
陈思思	chensi,cs
陈思王	chensiwang,csw
陈死人	chensiren,csr
陈俗	chensu,cs
陈诉	chensu,cs
陈宿	chensu,cs
陈粟	chensu,cs
陈愬	chenshuo,cs
陈隋调	chensuidiao,csd
陈榻	chenta,ct
陈泰挂壁	chentaiguabi,ctgb
陈潭秋	chentanqiu,ctq
陈套	chentao,ct
陈天华	chentianhua,cth
陈条	chentiao,ct
陈抟	chentuan,ct
陈讬	chentuo,ct
陈托	chentuo,ct
陈王	chenwang,cw
陈王赋	chenwangfu,cwf
陈维崧	chenweisong,cws
陈文	chenwen,cw
陈闻	chenwen,cw
陈吴	chenwu,cw
陈物	chenwu,cw
陈希同	chenxitong,cxt
陈锡	chenxi,cx
陈咸之憾	chenxianzhihan,cxzh
陈献	chenxian,cx
陈香梅	chenxiangmei,cxm
陈巷	chenxiang,cx
陈效	chenxiao,cx
陈写	chenxie,cx
陈谢	chenxie,cx
陈修	chenxiu,cx
陈序	chenxu,cx
陈叙	chenxu,cx
陈玄	chenxuan,cx
陈训	chenxun,cx
陈逊	chenxun,cx
陈言	chenyan,cy
陈言肤词	chenyanfuci,cyfc
陈言老套	chenyanlaotao,cylt
陈言务去	chenyanwuqu,cywq
陈筵	chenyan,cy
陈衍	chenyan,cy
陈燕燕	chenyan,cy
陈遗饭感	chenyifangan,cyfg
陈义	chenyi,cy
陈议	chenyi,cy
陈奕迅	chenyixun,cyx
陈挹	chenyi,cy
陈谊	chenyi,cy
陈毅	chenyi,cy
陈因	chenyin,cy
陈撄宁	chenyingning,cyn
陈鱼	chenyu,cy
陈谕	chenyu,cy
陈冤	chenyuan,cy
陈寃	chenyuan,cy
陈元光	chenyuanguang,cyg
陈垣	chenyuan,cy
陈阅	chenyue,cy
陈黦	chenyue,cy
陈云	chenyun,cy
陈云林	chenyunlin,cyl
陈云裳	chenyunchang,cyc
陈再道	chenzaidao,czd
陈臧	chenzang,cz
陈账	chenzhang,cz
陈正字	chenzhengzi,czz
陈政	chenzheng,cz
陈仲琳	chenzhonglin,czl
陈州粜米	chenzhoutiaomi,cztm
陈朱	chenzhu,cz
陈状	chenzhuang,cz
陈子昂	chenziang,cza
陈紫	chenzi,cz
陈胔	chenzi,cz
陈奏	chenzou,cz
陈俎	chenzu,cz
陈祖德	chenzude,czd
陈遵投辖	chenzuntouxia,cztx
陈遵辖	chenzunxia,czx
