障碍	zhangai,za
障碍滑雪	zhangaihuaxue,zahx
障碍跑	zhangaipao,zap
障碍赛跑	zhangaisaipao,zasp
障碍物	zhangaiwu,zaw
障碍性贫血	zhangaixingpinxue,zaxpx
障堡	zhangpu,zp
障闭	zhangbi,zb
障庇	zhangbi,zb
障蔽	zhangbi,zb
障壁	zhangbi,zb
障车	zhangche,zc
障车文	zhangchewen,zcw
障堤	zhangdi,zd
障毒	zhangdu,zd
障遏	zhange,ze
障防	zhangfang,zf
障覆	zhangfu,zf
障盖	zhanggai,zg
障隔	zhangge,zg
障骨	zhanggu,zg
障固	zhanggu,zg
障故	zhanggu,zg
障管	zhangguan,zg
障海	zhanghai,zh
障害	zhanghai,zh
障扞	zhanggan,zg
障汗	zhanghan,zh
障阂	zhanghe,zh
障互	zhanghu,zh
障护	zhanghu,zh
障积	zhangji,zj
障徼	zhangjiao,zj
障禁	zhangjin,zj
障距	zhangju,zj
障狂	zhangkuang,zk
障累	zhanglei,zl
障疠	zhangli,zl
障吝	zhanglin,zl
障恡	zhanglin,zl
障袂	zhangmei,zm
障面	zhangmian,zm
障幕	zhangmu,zm
障难	zhangnan,zn
障恼	zhangnao,zn
障脑	zhangnao,zn
障泥	zhangni,zn
障屏	zhangping,zp
障气	zhangqi,zq
障染	zhangran,zr
障日	zhangri,zr
障塞	zhangsai,zs
障扇	zhangshan,zs
障澨	zhangshi,zs
障隧	zhangsui,zs
障溪	zhangxi,zx
障习	zhangxi,zx
障袖	zhangxiu,zx
障眼	zhangyan,zy
障眼法	zhangyanfa,zyf
障业	zhangye,zy
障繄	zhangyi,zy
障翳	zhangyi,zy
障壅	zhangyong,zy
障泽	zhangze,zz
障子	zhangzi,zz
