隽拔	juanba,jb
隽才	juncai,jc
隽材	juancai,jc
隽乘	juncheng,jc
隽楚	juanchu,jc
隽词	junci,jc
隽脆	juncui,jc
隽德	junde,jd
隽发	junfa,jf
隽辅	junfu,jf
隽功	jungong,jg
隽轨	jungui,jg
隽豪	junhao,jh
隽杰	junjie,jj
隽洁	junjie,jj
隽句	junju,jj
隽绝	junjue,jj
隽蹶	junjue,jj
隽客	junke,jk
隽快	junkuai,jk
隽朗	junlang,jl
隽老	junlao,jl
隽李	junli,jl
隽良	junliang,jl
隽流	junliu,jl
隽迈	junmai,jm
隽髦	junmao,jm
隽茂	juanmao,jm
隽美	junmei,jm
隽妙	juanmiao,jm
隽敏	juanmin,jm
隽品	juanpin,jp
隽气	junqi,jq
隽器	junqi,jq
隽巧	junqiao,jq
隽人	junren,jr
隽赡	junshan,js
隽声	junsheng,js
隽士	junshi,js
隽爽	junshuang,js
隽俗	junsu,js
隽谈	juntan,jt
隽婉	junwan,jw
隽望	junwang,jw
隽伟	junwei,jw
隽味	junwei,jw
隽蔚	junwei,jw
隽武	junwu,jw
隽贤	junxian,jx
隽秀	junxiu,jx
隽雅	junya,jy
隽言妙语	junyanmiaoyu,jymy
隽彦	junyan,jy
隽觾	junyan,jy
隽乂	junyi,jy
隽异	junyi,jy
隽逸	junyi,jy
隽英	junying,jy
隽永	juanyong,jy
隽游	junyou,jy
隽语	juanyu,jy
隽誉	junyu,jy
隽远	junyuan,jy
隽造	junzao,jz
隽哲	junzhe,jz
隽壮	junzhuang,jz
隽资	junzi,jz
