零八宪章	lingbaxianzhang,lbxz
零败	lingbai,lb
零备件	lingbeijian,lbj
零逋	lingbu,lb
零部件	lingbujian,lbj
零残	lingcan,lc
零吃	lingchi,lc
零出	lingchu,lc
零悴	lingcui,lc
零瘁	lingcui,lc
零存整取	lingcunzhengqu,lczq
零打碎敲	lingdasuiqiao,ldsq
零担	lingdan,ld
零担车	lingdanche,ldc
零蛋	lingdan,ld
零刀子	lingdaozi,ldz
零的	lingde,ld
零等待状态	lingdengdaizhuangtai,lddzt
零点	lingdian,ld
零点定理	lingdiandingli,lddl
零点能	lingdianneng,ldn
零点五	lingdianwu,ldw
零凋	lingdiao,ld
零丁	lingding,ld
零丁孤苦	lingdingguku,ldgk
零丁洋	lingdingyang,ldy
零度	lingdu,ld
零堕	lingduo,ld
零废弃	lingfeiqi,lfq
零雰	lingfen,lf
零工	linggong,lg
零工经济	linggongjingji,lgjj
零功率堆	linggongludui,lgld
零孤	linggu,lg
零光片羽	lingguangpianyu,lgpy
零圭断璧	lingguiduanbi,lgdb
零桂	linggui,lg
零号	linghao,lh
零和	linghe,lh
零和博弈	lingheboyi,lhby
零花	linghua,lh
零花钱	linghuaqian,lhq
零毁	linghui,lh
零活	linghuo,lh
零活儿	linghuoer,lhe
零基础	lingjichu,ljc
零畸	lingji,lj
零级	lingji,lj
零藉	lingjie,lj
零件	lingjian,lj
零距离	lingjuli,ljl
零利	lingli,ll
零栗	lingli,ll
零铃	ling,l
零陵	ling,l
零陵区	lingqu,lq
零陵香	lingxiang,lx
零零	ling,l
零零散散	lingsan,ls
零零星星	lingxing,lx
零笼	linglong,ll
零露	linglu,ll
零露瀼瀼	linglurang,llr
零乱	lingluan,ll
零沦	linglun,ll
零落	lingluo,ll
零落山丘	lingluoshanqiu,llsq
零买	lingmai,lm
零卖	lingmai,lm
零茂	lingmao,lm
零配件	lingpeijian,lpj
零七八碎	lingqibasui,lqbs
零七碎八	lingqisuiba,lqsb
零起点	lingqidian,lqd
零钱	lingqian,lq
零敲碎打	lingqiaosuida,lqsd
零曲率	lingqulu,lql
零缺点	lingquedian,lqd
零雀	lingque,lq
零瀼	lingrang,lr
零日	lingri,lr
零日漏洞	lingriloudong,lrld
零容忍	lingrongren,lrr
零散	lingsan,ls
零散地	lingsande,lsd
零升	lingsheng,ls
零声母	lingshengmu,lsm
零时	lingshi,ls
零食	lingshi,ls
零售	lingshou,ls
零售店	lingshoudian,lsd
零售额	lingshoue,lse
零售价	lingshoujia,lsj
零售商	lingshoushang,lss
零数	lingshu,ls
零碎	lingsui,ls
零碎地	lingsuide,lsd
零碎地花	lingsuidehua,lsdh
零汤团	lingtangtuan,ltt
零涕	lingti,lt
零替	lingti,lt
零挑	lingtiao,lt
零头	lingtou,lt
零位	lingwei,lw
零下	lingxia,lx
零香	lingxiang,lx
零歇	lingxie,lx
零谢	lingxie,lx
零星	lingxing,lx
零星地	lingxingde,lxd
零削	lingxue,lx
零讯	lingxun,lx
零烟	lingyan,ly
零夷	lingyi,ly
零用	lingyong,ly
零用金	lingyongjin,lyj
零用钱	lingyongqian,lyq
零用账	lingyongzhang,lyz
零余	lingyu,ly
零榆	lingyu,ly
零雨	lingyu,ly
零杂	lingza,lz
零杂儿	lingzaer,lze
零杂工	lingzagong,lzg
零增长	lingzengzhang,lzz
零章	lingzhang,lz
零支	lingzhi,lz
零支了米麦无重数	lingzhilemimaiwuchongshu,lzlmmwcs
零珠碎玉	lingzhusuiyu,lzsy
零坠	lingzhui,lz
零族	lingzu,lz
零嘴	lingzui,lz
零作	lingzuo,lz
