韦鞴	weibei,wb
韦编	weibian,wb
韦编三绝	weibiansanjue,wbsj
韦弁	weibian,wb
韦伯	weibo,wb
韦布	weibu,wb
韦布交	weibujiao,wbj
韦达	weida,wd
韦沓	weita,wt
韦带	weidai,wd
韦丹碑	weidanbei,wdb
韦当	weidang,wd
韦德	weide,wd
韦杜	weidu,wd
韦尔弗雷兹	weierfuleizi,weflz
韦尔瓦	weierwa,wew
韦藩	weifan,wf
韦缟	weigao,wg
韦革	weige,wg
韦格纳	weigena,wgn
韦鞲	weigou,wg
韦毂	weigu,wg
韦褐	weihe,wh
韦护	weihu,wh
韦金	weijin,wj
韦经	weijing,wj
韦康	weikang,wk
韦科	weike,wk
韦绔	weiku,wk
韦袴	weiku,wk
韦裤	weiku,wk
韦裤布被	weikububei,wkbb
韦利	weili,wl
韦柳	weiliu,wl
韦慕庭	weimuting,wmt
韦娘	weiniang,wn
韦袍	weipao,wp
韦平	weiping,wp
韦箧	weiqie,wq
韦曲	weiqu,wq
韦人	weiren,wr
韦柔	weirou,wr
韦弱	weiruo,wr
韦裳	weichang,wc
韦氏拼法	weishipinfa,wspf
韦氏鹟莺	weishiwengying,wswy
韦氏学	weishixue,wsx
韦斯卡	weisika,wsk
韦笥	weisi,ws
韦素	weisu,ws
韦驮	weituo,wt
韦驮菩萨	weituopusa,wtps
韦驮天	weituotian,wtt
韦陀	weituo,wt
韦瓦第	weiwadi,wwd
韦舃	weituo,wt
韦弦	weixian,wx
韦弦之佩	weixianzhipei,wxzp
韦絮	weixu,wx
韦衣	weiyi,wy
韦应物	weiyingwu,wyw
韦脂	weizhi,wz
