顷步	qingbu,qb
顷常	qingchang,qc
顷代	qingdai,qd
顷倒	qingdao,qd
顷动	qingdong,qd
顷宫	qinggong,qg
顷忽	qinghu,qh
顷间	qingjian,qj
顷久	qingjiu,qj
顷克	qingke,qk
顷刻	qingke,qk
顷刻花	qingkehua,qkh
顷刻间	qingkejian,qkj
顷刻酒	qingkejiu,qkj
顷匡	qingkuang,qk
顷筐	qingkuang,qk
顷来	qinglai,ql
顷亩	qingmu,qm
顷畮	qingmu,qm
顷年	qingnian,qn
顷前	qingqian,qq
顷顷	qing,q
顷然	qingran,qr
顷日	qingri,qr
顷时	qingshi,qs
顷世	qingshi,qs
顷数	qingshu,qs
顷岁	qingsui,qs
顷谈	qingtan,qt
顷听	qingting,qt
顷危	qingwei,qw
顷息	qingxi,qx
顷襄	qingxiang,qx
顷向	qingxiang,qx
顷心	qingxin,qx
顷月	qingyue,qy
顷暂	qingzan,qz
顷者	qingzhe,qz
顷之	qingzhi,qz
