预案	yuan,ya
预榜	yubang,yb
预牓	yubang,yb
预报	yubao,yb
预备	yubei,yb
预备仓	yubeicang,ybc
预备地	yubeide,ybd
预备队	yubeidui,ybd
预备立宪	yubeilixian,yblx
预备铃	yubeiling,ybl
预备期	yubeiqi,ybq
预备役	yubeiyi,yby
预备役军人	yubeiyijunren,ybyjr
预备知识	yubeizhishi,ybzs
预卜	yubu,yb
预参	yucan,yc
预测	yuce,yc
预产期	yuchanqi,ycq
预愁	yuchou,yc
预筹	yuchou,yc
预订	yuding,yd
预定	yuding,yd
预定义	yudingyi,ydy
预睹	yudu,yd
预覩	yudu,yd
预杜	yudu,yd
预度	yudu,yd
预断	yuduan,yd
预防	yufang,yf
预防措施	yufangcuoshi,yfcs
预防法	yufangfa,yff
预防接种	yufangjiezhong,yfjz
预防免疫	yufangmianyi,yfmy
预防性	yufangxing,yfx
预防针	yufangzhen,yfz
预分	yufen,yf
预奉	yufeng,yf
预付	yufu,yf
预付款	yufukuan,yfk
预感	yugan,yg
预感地	yugande,ygd
预告	yugao,yg
预告片	yugaopian,ygp
预耕	yugeng,yg
预购	yugou,yg
预估	yugu,yg
预后	yuhou,yh
预会	yuhui,yh
预及	yuji,yj
预计	yuji,yj
预检	yujian,yj
预见	yujian,yj
预见地	yujiande,yjd
预荐	yujian,yj
预借	yujie,yj
预警	yujing,yj
预警机	yujingji,yjj
预警系统	yujingxitong,yjxt
预决	yujue,yj
预决算	yujuesuan,yjs
预觉	yujue,yj
预看	yukan,yk
预考	yukao,yk
预科	yuke,yk
预扣	yukou,yk
预览	yulan,yl
预敛	yulian,yl
预料	yuliao,yl
预留	yuliu,yl
预虑	yulu,yl
预买	yumai,ym
预谋	yumou,ym
预谋杀人	yumousharen,ymsr
预难	yunan,yn
预拟	yuni,yn
预配	yupei,yp
预期	yuqi,yq
预期收入票据	yuqishourupiaoju,yqsrpj
预期推理	yuqituili,yqtl
预期用途	yuqiyongtu,yqyt
预蕲	yuqi,yq
预前	yuqian,yq
预钱	yuqian,yq
预热	yure,yr
预日	yuri,yr
预赛	yusai,ys
预赏	yushang,ys
预设	yushe,ys
预审	yushen,ys
预示	yushi,ys
预事	yushi,ys
预视	yushi,ys
预试	yushi,ys
预收	yushou,ys
预收费	yushoufei,ysf
预售	yushou,ys
预述	yushu,ys
预送	yusong,ys
预算	yusuan,ys
预提	yuti,yt
预提费用	yutifeiyong,ytfy
预图	yutu,yt
预托证券	yutuozhengquan,ytzq
预闻	yuwen,yw
预习	yuxi,yx
预席	yuxi,yx
预先	yuxian,yx
预想	yuxiang,yx
预行	yuxing,yx
预凶	yuxiong,yx
预许	yuxu,yx
预选	yuxuan,yx
预选赛	yuxuansai,yxs
预压	yuya,yy
预言	yuyan,yy
预言家	yuyanjia,yyj
预言性地	yuyanxingde,yyxd
预演	yuyan,yy
预宴	yuyan,yy
预养	yuyang,yy
预议	yuyi,yy
预印	yuyin,yy
预应力	yuyingli,yyl
预应力混凝土	yuyinglihunningtu,yylhnt
预约	yuyue,yy
预早	yuzao,yz
预沾	yuzhan,yz
预展	yuzhan,yz
预占	yuzhan,yz
预兆	yuzhao,yz
预兆地	yuzhaode,yzd
预诏	yuzhao,yz
预征	yuzheng,yz
预政	yuzheng,yz
预支	yuzhi,yz
预知	yuzhi,yz
预知子	yuzhizi,yzz
预制	yuzhi,yz
预制板	yuzhiban,yzb
预制构件	yuzhigoujian,yzgj
预置	yuzhi,yz
预烛	yuzhu,yz
预祝	yuzhu,yz
预装	yuzhuang,yz
预走	yuzou,yz
预坐	yuzuo,yz
