飨报	xiangbao,xb
飨辞	xiangci,xc
飨赐	xiangci,xc
飨德	xiangde,xd
飨帝	xiangdi,xd
飨禘	xiangdi,xd
飨奠	xiangdian,xd
飨殿	xiangdian,xd
飨福	xiangfu,xf
飨告	xianggao,xg
飨孤	xianggu,xg
飨国	xiangguo,xg
飨贺	xianghe,xh
飨会	xianghui,xh
飨荐	xiangjian,xj
飨客	xiangke,xk
飨馈	xiangkui,xk
飨赉	xianglai,xl
飨劳	xianglao,xl
飨礼	xiangli,xl
飨醴	xiangli,xl
飨庙	xiangmiao,xm
飨年	xiangnian,xn
飨日	xiangri,xr
飨射	xiangshe,xs
飨食	xiangshi,xs
飨士	xiangshi,xs
飨祀	xiangsi,xs
飨糖	xiangtang,xt
飨象	xiang,x
飨宴	xiangyan,xy
飨燕	xiangyan,xy
飨以闭门羹	xiangyibimengeng,xybmg
飨饮	xiangyin,xy
飨昭	xiangzhao,xz
飨祚	xiangzuo,xz
