饿病	ebing,eb
饿踣	ebo,eb
饿答	eda,ed
饿肚子	eduzi,edz
饿饭	efan,ef
饿殕	efou,ef
饿夫	efu,ef
饿莩	epiao,ep
饿莩遍野	epiaobianye,epby
饿莩载道	epiaozaidao,epzd
饿鬼	egui,eg
饿汉	ehan,eh
饿虎	ehu,eh
饿虎饥鹰	ehujiying,ehjy
饿虎扑食	ehupushi,ehps
饿虎扑羊	ehupuyang,ehpy
饿虎擒羊	ehuqinyang,ehqy
饿虎吞羊	ehutunyang,ehty
饿虎之蹊	ehuzhixi,ehzx
饿喙	ehui,eh
饿火	ehuo,eh
饿馑	ejin,ej
饿狼	elang,el
饿老鸱	elaochi,elc
饿羸	elei,el
饿理	eli,el
饿隶	eli,el
饿馁	enei,en
饿殍	epiao,ep
饿殍遍野	epiaobianye,epby
饿殍满道	epiaomandao,epmd
饿殍载道	epiaozaidao,epzd
饿殍枕藉	epiaozhenji,epzj
饿杀	esha,es
饿死	esi,es
饿死漂渚	esipiaozhu,espz
饿死事小	esishixiao,essx
饿薇	ewei,ew
饿喂	ewei,ew
饿餧	ewei,ew
饿文	ewen,ew
饿纹	ewen,ew
饿显	exian,ex
饿乡	exiang,ex
饿眼	eyan,ey
饿焰	eyan,ey
