驩爱	huanai,ha
驩尝	huanchang,hc
驩悰	huancong,hc
驩动	huandong,hd
驩兜	huandou,hd
驩附	huanfu,hf
驩馆	huanguan,hg
驩咍嗢噱	huanhaiwajue,hhwj
驩合	huanhe,hh
驩呼	huanhu,hh
驩哗	huanhua,hh
驩浃	huanjia,hj
驩叫	huanjiao,hj
驩乐	huanle,hl
驩门	huanmen,hm
驩戚	huanqi,hq
驩洽	huanqia,hq
驩肰	huanran,hr
驩然	huanran,hr
驩声	huansheng,hs
驩说	huanshuo,hs
驩腾	huanteng,ht
驩头	huantou,ht
驩喜	huanxi,hx
驩笑	huanxiao,hx
驩心	huanxin,hx
驩欣	huanxin,hx
驩宴	huanyan,hy
驩逸	huanyi,hy
驩迎	huanying,hy
驩游	huanyou,hy
驩娱	huanyu,hy
驩愉	huanyu,hy
驩虞	huanyu,hy
驩悦	huanyue,hy
驩跃	huanyue,hy
驩乍	huanzha,hz
