驰跋	chiba,cb
驰薄	chibao,cb
驰奔	chiben,cb
驰币	chibi,cb
驰辩	chibian,cb
驰兵	chibing,cb
驰波	chibo,cb
驰捕	chibu,cb
驰步	chibu,cb
驰车	chiche,cc
驰陈	chichen,cc
驰诚	chicheng,cc
驰乘	chicheng,cc
驰骋	chicheng,cc
驰骋疆场	chichengjiangchang,ccjc
驰勑	chilai,cl
驰触	chichu,cc
驰传	chichuan,cc
驰辞	chici,cc
驰荡	chidang,cd
驰道	chidao,cd
驰电	chidian,cd
驰范	chifan,cf
驰芳	chifang,cf
驰风	chifeng,cf
驰风骋雨	chifengchengyu,cfcy
驰夫	chifu,cf
驰赴	chifu,cf
驰高鹜远	chigaowuyuan,cgwy
驰管	chiguan,cg
驰光	chiguang,cg
驰函	chihan,ch
驰翰	chihan,ch
驰毫	chihao,ch
驰化	chihua,ch
驰怀	chihuai,ch
驰惶	chihuang,ch
驰晖	chihui,ch
驰辉	chihui,ch
驰魂宕魄	chihundangpo,chdp
驰魂夺魄	chihunduopo,chdp
驰绩	chiji,cj
驰笺	chijian,cj
驰角	chijiao,cj
驰教	chijiao,cj
驰结	chijie,cj
驰介	chijie,cj
驰精	chijing,cj
驰景	chijing,cj
驰竞	chijing,cj
驰军	chijun,cj
驰恳	chiken,ck
驰空	chikong,ck
驰控	chikong,ck
驰恋	chilian,cl
驰猎	chilie,cl
驰龄	chiling,cl
驰流	chiliu,cl
驰龙科	chilongke,clk
驰马	chima,cm
驰马试剑	chimashijian,cmsj
驰冒	chimao,cm
驰名	chiming,cm
驰名当世	chimingdangshi,cmds
驰名天下	chimingtianxia,cmtx
驰名中外	chimingzhongwai,cmzw
驰命	chiming,cm
驰目	chimu,cm
驰慕	chimu,cm
驰年	chinian,cn
驰念	chinian,cn
驰跑	chipao,cp
驰辔	chipei,cp
驰骑	chiqi,cq
驰企	chiqi,cq
驰骎	chiqin,cq
驰禽	chiqin,cq
驰情	chiqing,cq
驰求	chiqiu,cq
驰驱	chiqu,cq
驰趋	chiqu,cq
驰駈	chiqu,cq
驰驲	chiri,cr
驰蹂	chirou,cr
驰射	chishe,cs
驰神	chishen,cs
驰声	chisheng,cs
驰声走誉	chishengzouyu,cszy
驰诗	chishi,cs
驰使	chishi,cs
驰驶	chishi,cs
驰书	chishu,cs
驰术	chishu,cs
驰爽	chishuang,cs
驰说	chishuo,cs
驰思	chisi,cs
驰思遐想	chisixiaxiang,csxx
驰驷	chisi,cs
驰溯	chisu,cs
驰腾	chiteng,ct
驰田	chitian,ct
驰突	chitu,ct
驰湍	chituan,ct
驰望	chiwang,cw
驰骛	chiwu,cw
驰鹜	chiwu,cw
驰袭	chixi,cx
驰檄	chixi,cx
驰系	chixi,cx
驰侠	chixia,cx
驰羡	chixian,cx
驰翔	chixiang,cx
驰响	chixiang,cx
驰想	chixiang,cx
驰心	chixin,cx
驰行	chixing,cx
驰烟	chiyan,cy
驰掩	chiyan,cy
驰仰	chiyang,cy
驰曜	chiyao,cy
驰耀	chiyao,cy
驰义	chiyi,cy
驰弋	chiyi,cy
驰驿	chiyi,cy
驰轶	chiyi,cy
驰意	chiyi,cy
驰影	chiying,cy
驰甬	chiyong,cy
驰涌	chiyong,cy
驰誉	chiyu,cy
驰援	chiyuan,cy
驰瞻	chizhan,cz
驰指	chizhi,cz
驰志	chizhi,cz
驰志伊吾	chizhiyiwu,czyw
驰掷	chizhi,cz
驰骤	chizhou,cz
驰逐	chizhu,cz
驰踪	chizong,cz
驰走	chizou,cz
