鬻笔	yubi,yb
鬻博	yubo,yb
鬻财	yucai,yc
鬻采	yucai,yc
鬻宠擅权	yuchongshanquan,ycsq
鬻弹	yudan,yd
鬻德	yude,yd
鬻第	yudi,yd
鬻度	yudu,yd
鬻渡	yudu,yd
鬻儿卖女	yuermainu,yemn
鬻歌	yuge,yg
鬻工	yugong,yg
鬻卦	yugua,yg
鬻官	yuguan,yg
鬻贵	yugui,yg
鬻货	yuhuo,yh
鬻鸡为凤	yujiweifeng,yjwf
鬻伎	yuji,yj
鬻技	yuji,yj
鬻居	yuju,yj
鬻举	yuju,yj
鬻爵	yujue,yj
鬻口	yukou,yk
鬻良杂苦	yuliangzaku,ylzk
鬻猎	yulie,yl
鬻骆	yuluo,yl
鬻卖	yumai,ym
鬻矛誉楯	yumaodun,ymd
鬻驽窃价	yunuqiejia,ynqj
鬻奇	yuqi,yq
鬻钱	yuqian,yq
鬻妾	yuqie,yq
鬻权	yuquan,yq
鬻容	yurong,yr
鬻色	yuse,ys
鬻声钓世	yushengdiaoshi,ysds
鬻室	yushi,ys
鬻手	yushou,ys
鬻私	yusi,ys
鬻题	yuti,yt
鬻文	yuwen,yw
鬻文为生	yuwenweisheng,ywws
鬻邪	yuxie,yx
鬻衒	yuxuan,yx
鬻言	yuyan,yy
鬻业	yuye,yy
鬻义	yuyi,yy
鬻狱	yu,y
鬻鬻	yu,y
鬻子	yuzi,yz
