鹏鳌	pengao,pa
鹏背	pengbei,pb
鹏变	pengbian,pb
鹏飙	pengbiao,pb
鹏飈	pengbiao,pb
鹏程	pengcheng,pc
鹏程万里	pengchengwanli,pcwl
鹏池	pengchi,pc
鹏垂	pengchui,pc
鹏雕	pengdiao,pd
鹏鹗	penge,pe
鹏翻	pengfan,pf
鹏飞	pengfei,pf
鹏风	pengfeng,pf
鹏赋	pengfu,pf
鹏海	penghai,ph
鹏翮	penghe,ph
鹏壑	penghe,ph
鹏迹	pengji,pj
鹏鹪	pengjiao,pj
鹏鲸	pengjing,pj
鹏举	pengju,pj
鹏鹍	pengkun,pk
鹏鲲	pengkun,pk
鹏力	pengli,pl
鹏路	penglu,pl
鹏溟	pengming,pm
鹏鸟	pengniao,pn
鹏骞	pengqian,pq
鹏擒	pengqin,pq
鹏衢	pengqu,pq
鹏砂	pengsha,ps
鹏虱	pengshi,ps
鹏术	pengshu,ps
鹏天	pengtian,pt
鹏蜩	pengtiao,pt
鹏图	pengtu,pt
鹏抟	pengtuan,pt
鹏抟鹍运	pengtuankunyun,ptky
鹏抟鹢退	pengtuanhuatui,ptht
鹏息	pengxi,px
鹏鶱	pengxian,px
鹏霄	pengxiao,px
鹏霄万里	pengxiaowanli,pxwl
鹏鷃	pengyan,py
鹏翼	pengyi,py
鹏游	pengyou,py
鹏游蝶梦	pengyoudiemeng,pydm
鹏鱼	pengyu,py
鹏云	pengyun,py
鹏运	pengyun,py
鹏鳣	pengzhan,pz
鹏张	pengzhang,pz
鹏噣	pengzhou,pz
鹏翥	pengzhu,pz
