鹘饼	hubing,hb
鹘嘲	huchao,hc
鹘城猿洞	huchengyuandong,hcyd
鹘翅	huchi,hc
鹘臭	huchou,hc
鹘打鹅	hudae,hde
鹘打雁	hudayan,hdy
鹘雕	hudiao,hd
鹘坊	hufang,hf
鹘睛	hujing,hj
鹘鸠	gujiu,gj
鹘鸠氏	gujiushi,gjs
鹘军	hujun,hj
鹘伶	huling,hl
鹘伶声嗽	hulingshengsou,hlss
鹘鸰	huling,hl
鹘鸰眼	hulingyan,hly
鹘露蹄	huluti,hlt
鹘仑	hulun,hl
鹘仑吞	huluntun,hlt
鹘仑吞枣	huluntunzao,hltz
鹘囵	hulun,hl
鹘沦	hulun,hl
鹘落	huluo,hl
鹘莽	humang,hm
鹘没	humei,hm
鹘起	huqi,hq
鹘拳	huquan,hq
鹘人	huren,hr
鹘入鸦群	huruyaqun,hryq
鹘石	hushi,hs
鹘蹄	huti,ht
鹘蹏	hudi,hd
鹘突	hutu,ht
鹘突帐	hutuzhang,htz
鹘鶟	hutu,ht
鹘尾叶	huweiye,hwy
鹘握	huwo,hw
鹘兀	huwu,hw
鹘响	huxiang,hx
鹘眼	huyan,hy
鹘鸼	guzhou,gz
