黜罢	chuba,cb
黜贬	chubian,cb
黜殡	chubin,cb
黜兵	chubing,cb
黜斥	chuchi,cc
黜除	chu,c
黜刺	chuci,cc
黜挫	chucuo,cc
黜典	chudian,cd
黜恶	chue,ce
黜罚	chufa,cf
黜放	chufang,cf
黜废	chufei,cf
黜否	chufou,cf
黜伏	chufu,cf
黜浮	chufu,cf
黜妇	chufu,cf
黜革	chuge,cg
黜官	chuguan,cg
黜黑	chuhei,ch
黜华	chuhua,ch
黜昏	chuhun,ch
黜昏启圣	chuhunqisheng,chqs
黜迹	chuji,cj
黜奸	chujian,cj
黜降	chujiang,cj
黜落	chuluo,cl
黜落法	chuluofa,clf
黜嫚	chuman,cm
黜免	chumian,cm
黜名	chuming,cm
黜屏	chuping,cp
黜弃	chuqi,cq
黜遣	chuqian,cq
黜辱	churu,cr
黜色	chuse,cs
黜奢崇俭	chushechongjian,cscj
黜升	chusheng,cs
黜尸	chushi,cs
黜汰	chutai,ct
黜退	chutui,ct
黜位削地	chuweixuedi,cwxd
黜羡遗华	chuxianyihua,cxyh
黜邪崇正	chuxiechongzheng,cxcz
黜削	chuxue,cx
黜衣缩食	chuyisuoshi,cyss
黜抑	chuyi,cy
黜幽	chuyou,cy
黜幽陟明	chuyouzhiming,cyzm
黜远	chuyuan,cy
黜责	chuze,cz
黜谪	chuzhe,cz
黜陟	chuzhi,cz
黜陟幽明	chuzhiyouming,czym
黜冢	chuzhong,cz
黜周王鲁	chuzhouwanglu,czwl
黜逐	chuzhu,cz
黜浊	chuzhuo,cz
